ENTRY NAME,CODE,PUBLICATION,WEBSERVER,LINK,FOLDER1,CATEGORY1,SUBCATEGORY1,SUBSUBCATEGORY1,DESCRIPTION,GITHUB_STARS,LAST_COMMIT,LAST_COMMIT_AGO,LICENSE,CITATIONS,JOURNAL,JIF,PAGE_ICON,TAGS
OpenADMET,https://github.com/OpenADMET,,,https://openadmet.org/,ADMET,"Datasets, ADMET",,,comprehensive open library of experimental and structural datasets,,,,,,,,material/database,"dataset, admet"
BBB-score,https://github.com/gkxiao/BBB-score,https://doi.org/10.1021/acs.jmedchem.9b01220,,,ADMET,Pretrained Models,"BBB, ADMET",BBB,The Blood�Brain Barrier (BBB) Score,10,2021-07-20T10:16:00.000Z,42 months ago,,214,Journal of Medicinal Chemistry,6.8,material/needle,"admet, blood brain barrier (BBB), pretrained model"
D-CyPre,https://github.com/67520/D-CyPre,https://doi.org/10.1021/acs.jcim.1c00144,,,ADMET,Pretrained Models,"CYP450, ADMET",CYP450,Tool for Accurately Predicting the Site of Metabolism of Human Cytochrome P450 Metabolism,3,2023-04-27T11:33:59.000Z,21 months ago,,24,Journal of Chemical Information and Modeling,5.6,material/needle,"CYP450, admet, metabolism, pretrained model"
GTransCYPs,https://github.com/zonwoo/GTransCYPs,https://doi.org/10.1186/s13321-024-00915-z,,,ADMET,Pretrained Models,"CYP450, ADMET",CYP450,graph transformer neural network with attention pooling for reliably predicting CYP450 inhibitors,4,2024-12-11T12:29:52.000Z,1 months ago,,0,Journal of Cheminformatics,7.1,material/needle,"pretrained model, CYP450, admet"
ADMET_XGBoost,https://github.com/smu-tao-group/ADMET_XGBoost,https://doi.org/10.1007/s00894-022-05373-8,,,ADMET,Pretrained Models,"General, ADMET",General,ADMETboost: a web server for accurate ADMET prediction,32,2023-03-25T15:58:07.000Z,22 months ago,,42,Journal of Molecular Modeling,2.1,material/needle,"pretrained model, general, admet"
admet-ai,https://github.com/swansonk14/admet_ai,https://doi.org/10.1093/bioinformatics/btae416,,,ADMET,Pretrained Models,"General, ADMET",General,ADMET-AI: A machine learning ADMET platform for evaluation of large-scale chemical libraries,130,2024-10-04T19:09:07.000Z,3 months ago,,30,Bioinformatics,4.4,material/needle,"pretrained model, admet"
ADMETlab,https://github.com/ifyoungnet/ADMETlab,https://doi.org/10.1093/nar/gkae236,,,ADMET,Pretrained Models,"General, ADMET",General,"systematical evaluation of ADMET properties, as well as some physicochemical properties and medicinal chemistry friendliness",61,2024-06-20T16:27:51.000Z,7 months ago,,144,Nucleic Acids Research,16.6,material/needle,"pretrained model, admet"
ADMETlab3.0,,https://doi.org/10.1093/nar/gkae236,,https://admetlab3.scbdd.com,ADMET,Pretrained Models,"General, ADMET",General,"systematical evaluation of ADMET properties, as well as some physicochemical properties and medicinal chemistry friendliness",,,,,144,Nucleic Acids Research,16.6,material/needle,"pretrained model, admet"
AutoADMET,https://github.com/alexgcsa/auto-admet,https://doi.org/10.48550/arXiv.2502.16378,,,ADMET,Pretrained Models,General,,AutoML Method for Chemical ADMET Property Prediction,,,,,,,,material/needle,"pretrained model, admet"
ChemMORT,https://github.com/leelasd/ChemMORT,https://doi.org/10.1093/bib/bbae008,,,ADMET,Pretrained Models,"General, ADMET",General,ChemMORT: an automatic ADMET optimization platform using deep learning and multi-objective particle swarm optimization,3,2020-10-10T13:58:57.000Z,52 months ago,,4,Briefings in Bioinformatics,6.8,material/needle,"pretrained model, admet"
Computation-ADME,https://github.com/molecularinformatics/Computational-ADME,https://doi.org/10.1021/acs.jcim.3c00160,,,ADMET,"Pretrained Models, ADMET","General, ADMET",General,,82,2024-02-13T00:11:10.000Z,11 months ago,,27,Journal of Chemical Information and Modeling,5.6,material/needle,"pretrained model, admet"
Datagrok Admetica,https://github.com/datagrok-ai/admetica,,,https://public.datagrok.ai/browse/admetica.admeticaapp,ADMET,Pretrained Models,"General, ADMET",,Datagrok pretrained ADME models,14,2024-11-01T09:23:03.000Z,2 months ago,,,,,material/needle,"pretrained model, admet"
OCHEM,,,https://ochem.eu/home/show.do,,ADMET,Pretrained Models,"General, ADMET",General,,,,,,,,,material/needle,admet
OPERA,https://github.com/NIEHS/OPERA,,,https://ntp.niehs.nih.gov/whatwestudy/niceatm/comptox/ct-opera/opera.html,ADMET,"Pretrained Models, ML+AI","General, Pretrained Models, ADMET",General,,74,2024-10-01T20:57:22.000Z,3 months ago,,,,,material/needle,"admet, toxicity"
QIP,https://github.com/standigm/qip,https://doi.org/10.1021/acs.jcim.4c00772,,,ADMET,Pretrained Models,"General, ADMET",General,"Machine learning model that predict the ADMET (absorption, distribution, metabolism, excretion, and toxicity) properties of molecules.",3,2024-11-13T03:26:42.000Z,2 months ago,,1,Journal of Chemical Information and Modeling,5.6,material/needle,"pretrained model, admet"
SwissADME,,https://doi.org/10.1038/srep42717,http://www.swissadme.ch/,,ADMET,Pretrained Models,"General, ADMET",General,"web tool to evaluate pharmacokinetics, drug-likeness and medicinal chemistry friendliness",,,,,10395,Scientific Reports,3.8,material/needle,"pretrained model, admet"
VEGA,,,,https://www.vegahub.eu/portfolio-item/vega-qsar/,ADMET,Pretrained Models,"General, ADMET",General,,,,,,,,,material/needle,"pretrained model, admet"
vNN-ADMET,,,https://vnnadmet.bhsai.org/vnnadmet/login.xhtml,,ADMET,Pretrained Models,"General, ADMET",General,,,,,,,,,material/needle,"pretrained model, admet"
CardioTox,https://github.com/Abdulk084/CardioTox,https://doi.org/10.1186/s13321-021-00541-z,,,ADMET,Pretrained Models,"hERG, ADMET",hERG,A robust predictor for hERG channel blockade via deep learning meta ensembling approaches,18,2025-01-05T23:49:53.000Z,0 months ago,,35,Journal of Cheminformatics,7.1,material/needle,"pretrained model, hERG, admet"
CLOP-hERG,https://github.com/heshida01/CLOP-hERG/blob/main/README.md,https://doi.org/10.47852/bonviewMEDIN42022049,,,ADMET,Pretrained Models,"hERG, ADMET",hERG,Contrastive Learning Optimized Pretrained Model for Representation Learning in Predicting Drug-Induced hERG Channel Blockers,0,2023-12-18T07:43:06.000Z,13 months ago,,0,Medinformatics,,material/needle,"pretrained model, hERG, admet"
hERGdb,,https://doi.org/10.1371/journal.pone.0199348,https://drugdesign.riken.jp/hERGdb/,,ADMET,"Pretrained Models, Toxicity","hERG, ADMET",hERG,web-based cardiotoxicity prediction,,,,,47,PLOS ONE,2.9,material/needle,"pretrained model, hERG, admet"
OWPCP,https://github.com/jmohammadmaleki/OWPCP.git,https://doi.org/10.48550/arXiv.2410.18118,,,ADMET,"Pretrained Models, Pre-trained Models",logP,,OWPCP: A Deep Learning Model to Predict Octanol-Water Partition Coefficient,0,24-Oct,2 months ago,,0,,,material/needle,"pretrained model, logP"
rescoss_logp_ml,https://github.com/cisert/rescoss_logp_ml,https://doi.org/10.1021/acsomega.2c05607,,,ADMET,Pretrained Models,logP,,"A repository dedicated to logP prediction using machine learning, offering insights into the solubility and distribution properties of compounds.",6,2023-01-04T19:23:00.000Z,24 months ago,,26,ACS Omega,3.7,material/needle,"pretrained model, logP"
MetaPredictor,https://github.com/zhukeyun/Meta-Predictor,https://doi.org/10.1093/bib/bbae374,,,ADMET,Pretrained Models,"Metabolites, ADMET",Metabolites,in silico prediction of drug metabolites based on deep language models,5,2024-12-02T15:21:19.000Z,1 months ago,,0,Briefings in Bioinformatics,6.8,material/needle,"pretrained model, metabolism"
Deep-PK,,,,https://biosig.lab.uq.edu.au/deeppk/,ADMET,Pretrained Models,"PK, ADMET",PK,deep learning for small molecule pharmacokinetic and toxicity prediction,,,,,,,,material/needle,"pretrained model, pharmacokinetics (PK), admet, toxicity"
pkCSM,,https://doi.org/10.1021/acs.jmedchem.5b00104,,https://biosig.lab.uq.edu.au/pkcsm/,ADMET,Pretrained Models,"PK, ADMET",PK,,,,,,3207,Journal of Medicinal Chemistry,6.8,material/needle,"pretrained model, admet, webserver"
